"gutenberg_id" "text"
45755 "<CHAPTER I"
45755 "THE PARTNER>"
45755 ""
45755 ""
45755 ""
45755 "The train, with a shrill whistle, pulled into Summering. For a moment"
45755 "the black coaches stood still in the silvery light of the uplands to"
45755 "eject a few vivid human figures and to swallow up others. Exacerbated"
45755 "voices called back and forth; then, with a puffing and a chugging and"
45755 "another shrill shriek, the dark train clattered into the opening of the"
45755 "tunnel, and once more the landscape stretched before the view unbroken"
45755 "in all its wide expanse, the background swept clean by the moist wind."
45755 ""
45755 "One of the arrivals, a young man pleasantly distinguished by his good"
45755 "dress and elastic walk, hurried ahead of the others and entered one of"
45755 "the hotel 'buses. The horses took the steep road leisurely. Spring was"
45755 "in the air. Up in the sky floated the white shifting clouds of May and"
45755 "June, light, sportive young creatures, playfully coursing the blue path"
45755 "of heaven, suddenly dipping and hiding behind the mountains, embracing"
45755 "and running away, crumpling up like handkerchiefs, elongating into gauzy"
45755 "scarfs, and ending their play by roguishly perching white caps on the"
45755 "mountain tops. There was unrest below, too, in the wind, which shook the"
45755 "lean trees, still wet from the rain, and set their limbs a-groaning"
45755 "softly and brought down a thousand shining drops. Sometimes a cool"
45755 "breath of snow descended from the mountains, and then there was a feel"
45755 "in the air both balmy and cutting. All things in the atmosphere and on"
45755 "the earth were in motion and astir with the ferment of impatience. The"
45755 "horses tossed their heads and snorted as they now trotted down a"
45755 "descent, the sound of their bells jingling far ahead of them."
45755 ""
45755 "On arriving at the hotel, the young man made straight for the registry"
45755 "and looked over the list of guests. He was disappointed."
45755 ""
45755 "\"What the deuce have I come here for?\" he thought in vexation. \"Stuck"
45755 "'way up here on top of the mountain all alone, no company; why it's"
45755 "worse than the office. I must have come either too early or too late. I"
45755 "never do have luck with my holidays. Not a single name do I know. If"
45755 "only there was a woman or two here to pick up a flirtation with, even a"
45755 "perfectly innocent one, if it must be, just to keep the week from being"
45755 "too utterly dismal.\""
45755 ""
45755 "The young man, a baron not very high up in the country's nobility, held"
45755 "a government position, and had secured this short vacation not because"
45755 "he required it particularly, but because his colleagues had all got a"
45755 "week off in spring and he saw no reason for making a present of his"
45755 "\"week off\" to the government. Although not without inner resources, he"
45755 "was a thoroughly social being, his sociability being the very quality"
45755 "for which his friends liked him and for which he was welcomed in all"
45755 "circles. He was quite conscious of his inability to stay by himself and"
45755 "had no inclination to meet himself, as it were, but rather avoided his"
45755 "own company, feeling not the least urge to become intimately acquainted"
45755 "with his own soul. He knew he required contact with other human beings"
45755 "to kindle his talents and stir up the warmth and exuberance of his"
45755 "spirits. Alone he was like a match in a box, frosty and useless."
45755 ""
45755 "He paced up and down the hall, completely out of sorts, stopping now and"
45755 "then irresolutely to turn the leaves of the magazines, or to glance at"
45755 "the newspapers, or to strike up a waltz on the piano in the music-room."
45755 "Finally he sat down in a sulk and watched the growing dusk and the gray"
45755 "mist steal in patches between the fir-trees. After a long, vain,"
45755 "fretful hour he took refuge in the dining-room."
45755 ""
45755 "As yet only a few of the tables were occupied. He took them in at a"
45755 "swift glance. No use. No one he knew, except--he responded to the"
45755 "greeting listlessly--a gentleman to whom he had spoken on the train, and"
45755 "farther off a familiar face from the metropolis. No one else. Not a"
45755 "single woman to promise even a momentary adventure. He became more and"
45755 "more impatient and out of sorts."
45755 ""
45755 "Being a young man favored with a handsome face, he was always prepared"
45755 "for a new experience. He was of the sort of men who are constantly on"
45755 "the lookout for an opportunity to plunge into an adventure for the sake"
45755 "of its novelty, yet whom nothing surprises because, forever lying in"
45755 "wait, they have calculated every possibility in advance. Such men never"
45755 "overlook any element of the erotic. The very first glance they cast at a"
45755 "woman is a probe into the sensual, a searching, impartial probe that"
45755 "knows no distinction between the wife of a friend or the maid who opens"
45755 "the door to her house. One rarely realizes, in using the ready-made word"
45755 "\"woman-hunter,\" which we toss in contempt at such men, how true the"
45755 "expression is and how much of faithful observation it implies. In their"
45755 "watchful alertness all the passionate instincts of the chase are afire,"
45755 "the stalking, the excitement, the cruel cunning. They are always at"
45755 "their post, always ready and determined to follow the tracks of an"
45755 "adventure up to the very brink of the precipice, always loaded with"
45755 "passion, not with the passion of a lover, but with the cold,"
45755 "calculating, dangerous passion of a gambler. Some of them are doggedly"
45755 "persevering, their whole life shaping itself, from this expectancy, into"
45755 "one perpetual adventure. Each day is divided for them into a hundred"
45755 "little sensual experiences--a passing look, a flitting smile, an"
45755 "accidental contact of the knees--and each year into a hundred such days,"
45755 "in which the sensual experience constitutes the ever-flowing,"
45755 "life-giving and quickening source of their existence."
45755 ""
45755 "There was no partner for a game here--that the baron's experienced eye"
45755 "instantly detected. And there is nothing more exasperating than for a"
45755 "player with cards in his hands, conscious of his ability, to be sitting"
45755 "at the green table vainly awaiting a partner. The baron called for a"
45755 "newspaper, but merely ran his eyes down the columns fretfully. His"
45755 "thoughts were crippled and he stumbled over the words."
45755 ""
45755 "Suddenly he heard the rustling of a dress and a woman's voice saying in"
45755 "a slightly vexed tone:"
45755 ""
45755 "\"_Mais tais toi donc, Edgar._\" Her accent was affected."
45755 ""
45755 "A tall voluptuous figure in silk crackled by his table, followed by a"
